date,index,cases,deaths,Recovered
2021-01-02,1,20463659,350343,0
2021-01-03,2,20665439,351694,0
2021-01-04,3,20917269,353743,0
2021-01-05,4,21152285,357432,0
2021-01-06,5,21408251,361396,0
2021-01-07,6,21688585,365509,0
2021-01-08,7,21989362,369404,0
2021-01-09,8,22241281,372663,0
2021-01-10,9,22449576,374440,0
2021-01-11,10,22675892,376488,0
2021-01-12,11,22905869,380894,0
2021-01-13,12,23135194,384824,0
2021-01-14,13,23374716,388804,0
2021-01-15,14,23614569,392553,0
2021-01-16,15,23816762,395894,0
2021-01-17,16,23986856,397624,0
2021-01-18,17,24127989,399065,0
2021-01-19,18,24314933,401836,0
2021-01-20,19,24500421,406216,0
2021-01-21,20,24690903,410351,0
2021-01-22,21,24882468,414082,0
2021-01-23,22,25050385,417404,0
2021-01-24,23,25180061,419219,0
2021-01-25,24,25336637,421126,0
2021-01-26,25,25487275,425224,0
2021-01-27,26,25643045,429326,0
2021-01-28,27,25809220,433194,0
2021-01-29,28,25973835,436794,0
2021-01-30,29,26107635,439435,0
2021-01-31,30,26221430,441299,0
2021-02-01,31,26363284,443249,0
2021-02-02,32,26478540,446860,0
2021-02-03,33,26598723,450703,0
2021-02-04,34,26724359,455820,0
2021-02-05,35,26853860,459390,0
2021-02-06,36,26958807,462052,0
2021-02-07,37,27046088,463353,0
2021-02-08,38,27139070,464936,0
2021-02-09,39,27235460,468106,0
2021-02-10,40,27330435,471360,0
2021-02-11,41,27436075,475238,0
2021-02-12,42,27535702,480701,0
2021-02-13,43,27620354,484073,0
2021-02-14,44,27684134,485154,0
2021-02-15,45,27739406,486148,0
2021-02-16,46,27803946,487855,0
2021-02-17,47,27874107,490326,0
2021-02-18,48,27945898,492951,0
2021-02-19,49,28023910,495572,0
2021-02-20,50,28093630,497403,0
2021-02-21,51,28148810,498650,0
2021-02-22,52,28208276,500104,0
2021-02-23,53,28280189,502432,0
2021-02-24,54,28354383,505642,0
2021-02-25,55,28432264,508107,0
2021-02-26,56,28510582,510283,0
2021-02-27,57,28573256,511850,0
2021-02-28,58,28624161,512979,0
2021-03-01,59,28680857,514404,0
2021-03-02,60,28738501,515710,0
2021-03-03,61,28805113,518079,0
2021-03-04,62,28872395,520028,0
2021-03-05,63,28938090,522511,0
2021-03-06,64,28994675,523970,0
2021-03-07,65,29034739,524646,0
2021-03-08,66,29129252,525466,0
2021-03-09,67,29185151,527351,0
2021-03-10,68,29243346,528825,0
2021-03-11,69,29305733,530349,0
2021-03-12,70,29369899,532054,0
2021-03-13,71,29419456,533928,0
2021-03-14,72,29457445,534497,0
2021-03-15,73,29514609,535246,0
2021-03-16,74,29569140,536491,0
2021-03-17,75,29628071,537668,0
2021-03-18,76,29688541,539226,0
2021-03-19,77,29749164,540740,0
2021-03-20,78,29803589,541512,0
2021-03-21,79,29837782,541960,0
2021-03-22,80,29892498,542608,0
2021-03-23,81,29949244,543501,0
2021-03-24,82,30029147,545091,0
